Afghanistan,אפגניסטן
Qatar,קטאר
Rejected,בוטל
Romania,רומניה
Russian Federation,רוסיה
Rwanda,רואנדה
Réunion,ריוניון
Saint Helena,סנט הלנה
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and the Grenadines,
Samoa,סמואה האמריקאית
San Marino,סן מרינו
Sao Tome and Principe,סאו טומה ופרינסיפה
Saudi Arabia,ערב הסעודית
Senegal,סנגל
Serbia,סרביה
Seychelles,איי סיישל
Sierra Leone,סיירה לאון
Singapore,סינגפור
Slovakia,סלובקיה
Slovenia,סלובניה
Solomon Islands,איי שלמה
Somalia,סומליה
South Africa,דרום אפריקה
South Georgia and the South Sandwich Islands,איי ג'ורג'יה הדרומית ואיי סנדוויץ' הדרומיים
South Korea,דרום קוריאה
South Sudan,דרום סודן
Spain,ספרד
Sri Lanka,סרי לנקה
St. Pierre and Miquelon,סנט פייר ומיקלון
Sudan,סודן
Suriname,סורינאם
Svalbard and Jan Mayen Islands,איי סוולברד ויאן מאיין
Swaziland,סוואזילנד
Sweden,שוודיה
Switzerland,שוויץ
Syria,סוריה
Taiwan,טייוואן
Tajikistan,טדג'יקיסטן
Tanzania,טנזניה
Thailand,תאילנד
The Netherlands,הולנד
Timor-Leste,
Togo,טוגו
Tokelau,טוקלאו
Tonga,טונגה
Trinidad and Tobago,טרינידד וטובגו
Tunisia,טוניסיה
Turkey,טורקיה
Turkmenistan,טורקמניסטן
Turks and Caicos Islands,איי טורק וקאיקוס
Tuvalu,טובאלו
Uganda,אוגנדה
Ukraine,אוקראינה
United Arab Emirates,איחוד האמירויות
United Kingdom,בריטניה
United States,"ארה""ב"
United States Minor Outlying Islands,האיים המרוחקים הקטנים של ארצות הברית
Uruguay,אורוגוואי
Uzbekistan,אוזבקיסטן
Vanuatu,ונואטו
Vatican,
Venezuela,ונצואלה
Vietnam,וייטנאם
Virgin Islands (British),איי הבתולה (בריטניה)
Virgin Islands (U.S.),"איי הבתולה (ארה""ב)"
Wallis and Futuna Islands,איי ווליס ופוטונה
Western Sahara,סהרה המערבית
Yemen,תימן
Yes,כן
Zambia,זמביה
Zimbabwe,זימבבואה
